Region;Delegation-ins;ref_tn_cod;Older people [%];Children [%]; Unemployed [%];Intrant migrant between 2009 et 2014 [%];Poverty rate [%];1Km proximity to Health [% population covered] ;1Km proximity to school [% population covered] ;1Km proximity to Green space [% build up area covered] ;1Km proximity to Administration [% build up area covered] ;700m proximity to PT [% build up area covered] ;Intersection [nb /ha] (Build up area);Road density [km/ha] (Total area);Accidents [Nb/ha] (Build up area);PT for commuting [%active  pop covered];Irregular transport for commuting [%active  pop covered];Commuting for >30 min [% active pop covered];Frequency PT [min]
Tunis;Carthage;1151;15.74;12.99;10.91;9.44;1.6;66.7;81.3;99;57.8;89.3;25.9;0.17;0.254;23.9;5;15.9;34
Tunis;La  Medina;1152;15.15;10.37;14.03;8.52;6.6;64.9;83.4;97.4;100;100;31.2;0.16;0.151;17.9;3.4;8.3;47
Tunis;Bab Bhar;1153;13.82;9.44;9.69;16.26;1.6;70.4;96.1;91.8;89.8;89.1;20.8;0.14;0.317;29.8;6.1;10.2;39
Tunis;Bab Souika;1154;15.72;11.04;14.94;8.87;4.5;69.7;92.2;87.1;88.2;99.9;23.6;0.25;0.332;24.2;3.9;11.4;43
Tunis;Elomrane;1155;12.91;14.2;16.37;11.53;6.3;75.4;94.1;73;76.8;97.7;17.8;0.21;0.151;28.4;4.5;13.8;40
Tunis;Elomrane Sup?rieur;1156;13.94;13.44;16.17;8.88;3.5;52.2;94.2;73.8;97;97.7;34.7;0.35;0.054;34.8;4.8;18.4;28
Tunis;Ettahrir;1157;13.52;14.24;14.74;11.72;2;59.9;87.5;91.5;76.6;99.9;18.6;0.29;0.039;31.2;6.9;18.5;25
Tunis;El Menzah;1158;18.79;11.62;6.24;13;0.2;25.9;89.3;75.6;83;90.7;14.2;0.23;0.2;9.4;6.9;10.2;36
Tunis;Cit? Elkhadra;1159;13.35;12.36;7.69;13.85;1.4;50.9;86.3;52;74.3;58.6;13.2;0.15;0.352;21.7;6.7;11.6;38
Tunis;Le Bardo;1160;14.33;13.43;12.73;10.57;1.8;42.5;97.7;28.8;60.6;98.2;12.7;0.27;0.41;29.5;5.5;15.4;43
Tunis;Sijoumi;1161;13.41;13.98;21.98;4.34;11.5;57.3;87.2;99.8;55.4;96.2;25.8;0.3;0.181;26.7;3.1;14.4;49
Tunis;Ezzouhour;1162;13.26;14.8;13.73;5.47;4;74.1;94.7;41.2;76.7;96;23.6;0.28;0.073;26.1;6.8;15.7;42
Tunis;Elhrairia;1163;10.81;16.58;17.02;10.45;6.1;45.2;88.9;51;19.3;83.7;17.2;0.13;0.176;32.1;5;22.5;46
Tunis;Sidi Hassine;1164;7.75;17.97;16.47;10.8;9.4;33.6;79.4;17.5;16.2;72.9;10.9;0.07;0.493;27.4;9.2;25;48
Tunis;El Ourdia;1165;13.86;13.83;16.07;5.3;3.9;86.6;94.9;71.4;91.1;91.2;13.1;0.19;0.273;33.7;4.5;18;56
Tunis;El Kabaria;1166;11.25;15.55;18.41;9.4;5.3;47.6;93.5;63.1;64.6;93.6;26.1;0.2;0.259;41.8;3.8;24.7;44
Tunis;Sidi El Bechir;1167;15.44;11.37;15.29;12.22;4.2;99.5;99.7;78.6;99.4;99;16.8;0.21;0.044;25.7;3.7;14.6;53
Tunis;Djbel Djloud;1168;12.61;14.78;22.34;5.52;9.5;67.9;85.7;30;26.7;80.9;5.8;0.14;0.181;32.9;4.3;18.7;52
Tunis;La Goulette;1169;10.2;16.04;8.68;25.33;1.1;41;92.1;86.3;83.2;49.5;13.5;0.17;0.103;16.6;6;13.6;30
Tunis;lE Kram;1170;10.75;15.62;11.58;14.83;3;32.7;73;75.7;86.3;64.5;17.4;0.23;0.249;23.2;6;14.5;32
Tunis;La Marsa;1171;12.87;14.35;8.97;9.29;2.2;34.7;83.8;69.5;50.2;57.8;14.6;0.15;0.547;19.8;7.9;13.7;28
Ariana;Ariana Ville;1251;14.44;13.45;7.45;13.66;1.3;29.8;91;66.6;76.8;85.7;12.2;0.18;0.562;12.5;7.2;14.1;49
Ariana;Soukra;1252;8.42;17.79;10.35;16.03;4.8;25.5;78.3;32.2;30.4;57.2;7.6;0.16;0.181;18.2;9;19;48
Ariana;Raoued;1253;8.42;18.53;10.27;18.91;6.9;11.2;70.9;20.7;30.3;50;8.7;0.1;0.186;20.6;11.3;20.7;48
Ariana;kala?t El Andalous;1254;9.65;19.26;8.25;4.12;12.5;44.5;80.8;0.7;22.1;55.8;13;0.02;0.02;22.2;2.4;19.5;65
Ariana;Sidi Thabet;1255;10.15;18.47;12.68;8.15;9.1;45.6;68.4;0;12.3;63.7;9.1;0.03;0.059;38.6;2;23.5;62
Ariana;Cit? Ettathamen;1256;10.72;16.36;17.32;5.96;12.4;35.8;84.7;100;58.9;79.8;27.4;0.34;0.02;31.8;2.8;23.8;33
