D?l?gation-ins;ref_tn_cod;1Km proximity to Health [% population] ;1Km proximity to Sport [% population] ;1Km proximity to school [% population] ;1Km proximity to elementary or highschool [% population] ;1Km proximity to Green space [% area];1Km proximity to Administration [% area];1Km proximity to Food [% area];700m proximity to PT [% area];Intersection [nb /ha];Road density [km/ha];Accidents [Nb/ha];Walking for commuting [%active  pop];PT for commuting [%active  pop];Irregular transport for commuting [%active  pop];Car for commuting [%active  pop];Commuting for <15 min [% active pop];Commuting for 15-30 min [% active pop];Commuting for >30 min [% active pop];Frequency PT [min]
Carthage;1151;66.7;54.1;81.3;50.2;99;57.8;91.2;89.3;25.9;0.17;0.254;36.5;23.9;5;29.1;52.1;32;15.9;34
La  Medina;1152;64.9;56.1;83.4;79.4;97.4;100;100;100;31.2;0.16;0.151;67.5;17.9;3.4;7;63.4;28.3;8.3;47
Bab Bhar;1153;70.4;81.1;96.1;91.7;91.8;89.8;82.2;89.1;20.8;0.14;0.317;48.6;29.8;6.1;12.3;56;33.8;10.2;39
Bab Souika;1154;69.7;59.3;92.2;74;87.1;88.2;86.8;99.9;23.6;0.25;0.332;59.6;24.2;3.9;9;56.9;31.7;11.4;43
Elomrane;1155;75.4;66.1;94.1;77.3;73;76.8;94.6;97.7;17.8;0.21;0.151;43.1;28.4;4.5;19.7;51.2;35;13.8;40
Elomrane Sup?rieur;1156;52.2;56.8;94.2;83.4;73.8;97;89.6;97.7;34.7;0.35;0.054;36.7;34.8;4.8;19.6;46.6;35;18.4;28
Ettahrir;1157;59.9;47.5;87.5;74.8;91.5;76.6;84.5;99.9;18.6;0.29;0.039;32.4;31.2;6.9;25.3;46.9;34.7;18.5;25
El Menzah;1158;25.9;38;89.3;72.3;75.6;83;99.9;90.7;14.2;0.23;0.2;17;9.4;6.9;62.1;51.8;37.9;10.2;36
Cit? Elkhadra;1159;50.9;40.2;86.3;68.1;52;74.3;50;58.6;13.2;0.15;0.352;31.7;21.7;6.7;35.2;56.4;32;11.6;38
Le Bardo;1160;42.5;50.4;97.7;76.2;28.8;60.6;56.4;98.2;12.7;0.27;0.41;32.1;29.5;5.5;28.6;47.3;37.3;15.4;43
Sijoumi;1161;57.3;42.1;87.2;46.4;99.8;55.4;18.7;96.2;25.8;0.3;0.181;61.4;26.7;3.1;5.1;47.3;38.3;14.4;49
Ezzouhour;1162;74.1;69.3;94.7;85.8;41.2;76.7;0;96;23.6;0.28;0.073;46.8;26.1;6.8;15;50.5;33.8;15.7;42
Elhrairia;1163;45.2;43.3;88.9;55.8;51;19.3;21.2;83.7;17.2;0.13;0.176;43.3;32.1;5;14.2;45.5;32;22.5;46
Sidi Hassine;1164;33.6;28.2;79.4;45.1;17.5;16.2;52.6;72.9;10.9;0.07;0.493;48.7;27.4;9.2;8.6;43.6;31.4;25;48
El Ourdia;1165;86.6;72.7;94.9;80.1;71.4;91.1;92.6;91.2;13.1;0.19;0.273;41.3;33.7;4.5;16.8;48.5;33.5;18;56
